Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Manager
E1,2010-08-07,Leeds,Derby,1,2,A,1,2,A,N Swarbrick,15,12,7,6,15,9,6,7,3,2,0,0,Nigel Clough
E1,2010-08-14,Derby,Cardiff,1,2,A,1,1,D,N Miller,10,11,5,5,10,3,7,6,2,0,0,0,Nigel Clough
E1,2010-08-21,Coventry,Derby,2,1,H,1,0,H,E Ilderton,14,14,7,9,22,6,10,1,3,2,0,0,Nigel Clough
E1,2010-08-28,Derby,QPR,2,2,D,1,0,H,M Haywood,9,10,7,5,11,10,7,4,1,1,0,0,Nigel Clough
E1,2010-09-11,Derby,Sheffield United,0,1,A,0,1,A,P Crossley,4,14,2,7,10,13,8,3,1,1,0,0,Nigel Clough
E1,2010-09-14,Hull,Derby,2,0,H,1,0,H,D Whitestone,16,12,11,4,13,14,7,9,1,2,0,0,Nigel Clough
E1,2010-09-18,Barnsley,Derby,1,1,D,0,1,A,D Webb,12,8,7,2,9,11,5,7,1,2,0,0,Nigel Clough
E1,2010-09-25,Derby,Crystal Palace,5,0,H,2,0,H,A Bates,20,4,12,1,7,11,12,2,2,2,0,1,Nigel Clough
E1,2010-09-28,Derby,Middlesbrough,3,1,H,1,1,D,C Pawson,19,13,11,5,13,14,12,7,1,4,0,0,Nigel Clough
E1,2010-10-02,Swansea,Derby,0,0,D,0,0,D,P Gibbs,12,6,3,3,9,10,7,9,1,0,0,0,Nigel Clough
E1,2010-10-16,Derby,Preston,3,0,H,2,0,H,A D'Urso,13,10,6,7,14,17,9,11,0,4,0,1,Nigel Clough
E1,2010-10-19,Doncaster,Derby,2,3,A,0,1,A,K Evans,14,13,8,11,9,9,3,9,3,2,0,0,Nigel Clough
E1,2010-10-23,Millwall,Derby,2,0,H,1,0,H,G Salisbury,14,6,10,3,11,9,8,9,0,1,0,0,Nigel Clough
E1,2010-10-30,Derby,Watford,4,1,H,2,0,H,P Tierney,14,8,11,4,10,6,7,3,4,1,0,0,Nigel Clough
E1,2010-11-06,Derby,Portsmouth,2,0,H,1,0,H,C Webster,14,7,8,0,16,14,1,3,1,2,0,0,Nigel Clough
E1,2010-11-09,Ipswich,Derby,0,2,A,0,0,D,R East,16,13,8,9,17,8,5,6,3,3,0,0,Nigel Clough
E1,2010-11-13,Leicester,Derby,2,0,H,1,0,H,S Tanner,16,10,4,2,12,14,5,2,1,3,0,0,Nigel Clough
E1,2010-11-20,Derby,Scunthorpe,3,2,H,2,1,H,J Linington,10,9,6,2,9,19,8,5,1,2,1,0,Nigel Clough
E1,2010-11-27,Burnley,Derby,2,1,H,0,1,A,M Haywood,17,2,6,2,9,4,8,2,1,1,0,0,Nigel Clough
E1,2010-12-04,Derby,Norwich,1,2,A,1,2,A,K Stroud,16,14,3,5,12,16,8,6,2,5,0,0,Nigel Clough
E1,2010-12-11,Bristol City,Derby,2,0,H,0,0,D,D Sheldrake,17,14,14,11,15,9,6,8,3,2,0,0,Nigel Clough
E1,2010-12-18,Derby,Reading,1,2,A,0,1,A,D Deadman,22,12,9,7,8,16,6,9,2,2,0,0,Nigel Clough
E1,2010-12-29,Nott'm Forest,Derby,5,2,H,3,1,H,A Bates,12,7,10,4,8,15,6,5,1,3,0,0,Nigel Clough
E1,2011-01-01,Preston,Derby,1,2,A,0,0,D,R Madley,16,17,8,6,8,13,7,3,1,1,0,0,Nigel Clough
E1,2011-01-03,Derby,Millwall,0,0,D,0,0,D,K Wright,7,11,2,1,4,14,6,8,0,2,0,0,Nigel Clough
E1,2011-01-15,Watford,Derby,3,0,H,3,0,H,G Ward,8,6,5,0,7,12,4,1,0,3,0,0,Nigel Clough
E1,2011-01-22,Derby,Nott'm Forest,0,1,A,0,0,D,G Salisbury,11,10,6,8,13,18,8,4,4,3,1,0,Nigel Clough
E1,2011-02-01,Derby,Ipswich,1,2,A,1,1,D,C Boyeson,14,6,5,3,7,16,7,2,1,1,0,0,Nigel Clough
E1,2011-02-05,Portsmouth,Derby,1,1,D,0,1,A,N Swarbrick,6,3,4,2,15,11,9,5,2,2,0,0,Nigel Clough
E1,2011-02-12,Derby,Leicester,0,2,A,0,2,A,C Webster,6,9,2,6,19,9,5,0,1,1,0,0,Nigel Clough
E1,2011-02-19,Scunthorpe,Derby,0,0,D,0,0,D,S Mathieson,9,6,5,4,13,11,4,3,1,1,0,0,Nigel Clough
E1,2011-02-22,Derby,Hull,0,1,A,0,0,D,A Woolmer,18,10,6,6,19,13,7,5,1,3,0,0,Nigel Clough
E1,2011-02-26,Sheffield United,Derby,0,1,A,0,1,A,R East,12,7,6,5,15,12,11,5,2,2,0,0,Nigel Clough
E1,2011-03-01,Derby,Doncaster,1,3,A,0,1,A,K Hill,17,15,9,6,13,15,7,5,2,0,0,0,Nigel Clough
E1,2011-03-05,Derby,Barnsley,0,0,D,0,0,D,D Deadman,11,12,3,8,11,13,6,6,1,0,0,0,Nigel Clough
E1,2011-03-08,Middlesbrough,Derby,2,1,H,0,1,A,K Evans,8,1,7,0,7,16,6,4,1,3,0,0,Nigel Clough
E1,2011-03-12,Derby,Swansea,2,1,H,1,0,H,G Scott,8,15,5,5,8,10,6,7,0,2,0,0,Nigel Clough
E1,2011-03-19,Crystal Palace,Derby,2,2,D,1,1,D,J Moss,12,6,7,4,14,15,3,1,1,1,0,0,Nigel Clough
E1,2011-04-02,Cardiff,Derby,4,1,H,1,0,H,J Linington,8,7,7,4,16,11,5,2,2,2,0,0,Nigel Clough
E1,2011-04-09,Derby,Coventry,2,2,D,2,2,D,R Booth,10,17,5,10,9,16,3,5,0,0,0,0,Nigel Clough
E1,2011-04-12,Derby,Leeds,2,1,H,0,0,D,G Salisbury,12,13,8,6,15,15,5,3,3,3,0,0,Nigel Clough
E1,2011-04-18,QPR,Derby,0,0,D,0,0,D,D Deadman,11,9,3,4,11,14,7,1,1,4,0,0,Nigel Clough
E1,2011-04-23,Derby,Burnley,2,4,A,2,1,H,M Russell,11,12,6,8,7,7,5,9,0,1,1,0,Nigel Clough
E1,2011-04-25,Norwich,Derby,3,2,H,1,0,H,A Haines,17,8,12,5,14,11,6,4,1,2,0,0,Nigel Clough
E1,2011-04-30,Derby,Bristol City,0,2,A,0,1,A,I Williamson,13,7,7,3,8,9,5,3,2,0,0,0,Nigel Clough
E1,2011-05-07,Reading,Derby,2,1,H,1,1,D,P Miller,9,6,3,3,8,9,6,1,1,2,0,0,Nigel Clough
